case,date,season,age,overall,hasTourCard,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age13-130363,2032-06-30,2032/33,19,67,False,62.9,74.92,79.32,65.51,58.14,70.09,75.24,63.76,57.74,38.92,54.97,58.98,65.24,62.45,57.73
age13-130363,2033-06-30,2033/34,20,71,False,66.8,79.35,84.2,71.37,61.54,75.19,80.7,68.27,61.43,41.58,57.36,60.18,66.13,63.77,59.22
age13-130363,2034-06-30,2034/35,21,74,False,70.66,83.22,87.89,77.6,64.86,80.33,85.14,72.76,65.03,44.3,59.71,61.36,67.02,65.1,60.7
age13-130363,2035-06-30,2035/36,22,79,False,75.85,87.08,91.3,84.1,69.24,85.75,89.47,78.47,69.34,47.71,63.08,63.04,68.28,66.89,62.8
age13-130363,2036-06-30,2036/37,23,80,False,79.08,89.11,92.87,87.05,71.86,87.99,91.25,81.41,71.72,49.55,65.25,64.12,69.09,67.98,64.15
age13-130363,2037-06-30,2037/38,24,82,True,81.18,90.34,93.83,88.99,73.67,89.49,92.38,83.45,73.56,50.96,66.61,64.8,69.6,68.71,65.01
age13-130363,2038-06-30,2038/39,25,83,True,83.16,91.43,94.69,90.74,75.52,90.9,93.43,85.41,75.49,52.48,68.0,65.5,70.13,69.47,65.88
age13-130363,2039-06-30,2039/40,26,84,False,84.77,92.27,95.33,91.94,77.24,92.0,94.29,86.99,77.28,53.79,69.42,66.21,70.66,70.16,66.76
age13-130363,2040-06-30,2040/41,27,85,True,86.08,92.93,95.84,92.85,78.76,92.75,94.87,88.07,78.69,54.83,70.64,66.82,71.11,70.77,67.52
age13-130363,2041-06-30,2041/42,28,86,True,87.25,93.57,96.27,93.64,80.18,93.42,95.37,89.04,80.03,55.87,71.71,67.36,71.52,71.36,68.2
age13-130363,2042-06-30,2042/43,29,87,False,88.19,94.07,96.62,94.26,81.41,94.01,95.81,89.92,81.3,56.86,72.67,67.84,71.88,71.88,68.8
age13-130363,2043-06-30,2043/44,30,88,False,89.16,94.55,96.96,94.88,82.7,94.61,96.26,90.81,82.62,57.95,73.89,68.44,72.33,72.46,69.55
age13-130363,2044-06-30,2044/45,31,88,False,90.13,95.06,97.3,95.44,83.96,95.13,96.65,91.61,83.86,59.02,75.02,69.01,72.76,73.09,70.26
age13-130363,2045-06-30,2045/46,32,89,False,90.95,95.49,97.64,95.99,85.08,95.6,96.99,92.32,84.92,60.13,76.14,69.57,73.18,73.68,70.96
age13-130363,2046-06-30,2046/47,33,90,False,91.67,95.86,97.97,96.47,86.08,96.04,97.31,93.0,85.94,61.26,77.19,70.09,73.57,74.24,71.62
age13-130363,2047-06-30,2047/48,34,90,True,92.19,96.13,98.23,96.8,86.82,96.34,97.56,93.45,86.65,62.08,78.13,70.56,73.92,74.69,72.2
age13-130363,2048-06-30,2048/49,35,91,True,92.78,96.44,98.51,97.1,87.6,96.63,97.82,93.91,87.38,62.98,79.04,71.02,74.27,75.21,72.78
age13-130363,2049-06-30,2049/50,36,91,False,92.78,96.44,98.51,97.1,87.6,96.63,97.82,93.91,87.38,62.98,79.04,71.02,74.27,75.21,72.78
age13-130363,2050-06-30,2050/51,37,91,True,92.78,96.44,98.51,97.1,87.6,96.63,97.82,93.91,87.38,62.98,79.04,71.02,74.27,75.21,72.78
age13-130363,2051-06-30,2051/52,38,91,True,92.78,96.44,98.51,97.1,87.6,96.63,97.82,93.91,87.38,62.98,79.04,71.02,74.27,75.21,72.78
age13-130363,2052-06-30,2052/53,39,91,False,92.78,96.44,98.51,97.1,87.6,96.63,97.82,93.91,87.38,62.98,79.04,71.02,74.27,75.21,72.78
age13-130363,2053-06-30,2053/54,40,91,True,92.78,96.44,98.51,97.1,87.6,96.63,97.82,93.91,87.38,62.98,79.04,71.02,74.27,75.21,72.78
age13-130363,2054-06-30,2054/55,41,90,True,91.96,95.55,97.59,96.6,87.2,96.63,97.82,93.91,87.38,62.98,77.57,70.25,72.96,74.34,71.52
age13-130363,2055-06-30,2055/56,42,90,False,90.97,94.48,96.46,96.0,86.71,96.63,97.82,93.91,87.38,62.98,75.79,69.3,71.39,73.28,70.01
age13-130363,2056-06-30,2056/57,43,89,True,89.78,93.2,95.13,95.27,86.11,96.63,97.82,93.91,87.38,62.98,73.74,68.18,69.57,72.03,68.26
age13-130363,2057-06-30,2057/58,44,88,True,88.41,91.72,93.59,94.42,85.42,96.63,97.82,93.91,87.38,62.98,71.42,66.9,67.51,70.59,66.28
age13-130363,2058-06-30,2058/59,45,87,True,86.84,90.03,91.84,93.44,84.62,96.63,97.82,93.91,87.38,62.98,68.86,65.44,65.22,68.97,64.07
age13-130363,2059-06-30,2059/60,46,86,True,85.08,88.14,89.86,92.32,83.69,96.63,97.82,93.91,87.38,62.98,66.09,63.81,62.73,67.16,61.67
age13-130363,2060-06-30,2060/61,47,85,True,83.14,86.05,87.7,91.06,82.66,96.55,97.74,93.88,87.38,62.96,63.16,62.04,60.09,65.2,59.12
age13-130363,2061-06-30,2061/62,48,83,True,81.02,83.78,85.34,89.66,81.51,96.36,97.54,93.81,87.38,62.93,60.1,60.12,57.33,63.08,56.44
age13-130363,2062-06-30,2062/63,49,81,True,78.73,81.33,82.8,88.12,80.23,96.03,97.21,93.69,87.38,62.88,56.95,58.07,54.46,60.82,53.66
age13-130363,2063-06-30,2063/64,50,80,False,76.27,78.71,80.08,86.43,78.83,95.55,96.71,93.5,87.38,62.79,53.74,55.9,51.52,58.44,50.81
age13-130363,2064-06-30,2064/65,51,78,False,73.65,75.93,77.2,84.58,77.29,94.86,96.01,93.24,87.38,62.67,50.49,53.61,48.54,55.94,47.91
age13-130363,2065-06-30,2065/66,52,76,False,70.89,72.99,74.16,82.57,75.62,93.94,95.07,92.88,87.38,62.51,47.24,51.23,45.53,53.35,44.98
age13-130363,2066-06-30,2066/67,53,75,False,67.99,69.91,70.98,80.41,73.8,92.75,93.85,92.42,87.38,62.3,44.02,48.77,42.54,50.68,42.06
age13-130363,2067-06-30,2067/68,54,72,False,64.96,66.71,67.68,78.08,71.84,91.25,92.31,91.82,87.38,62.03,40.84,46.24,39.58,47.94,39.16
age13-130363,2068-06-30,2068/69,55,71,False,62.35,63.95,65.01,76.5,70.2,89.73,90.71,91.34,87.69,62.09,38.12,43.86,36.83,45.38,36.56
age13-130363,2069-06-30,2069/70,56,68,False,59.12,60.54,61.49,73.82,67.95,87.49,88.43,90.41,87.69,61.66,35.09,41.26,34.01,42.59,33.78
age13-130363,2070-06-30,2070/71,57,66,False,56.21,57.48,58.42,71.57,65.89,85.38,86.25,89.59,87.91,61.46,32.44,38.77,31.36,39.92,31.23
age13-130363,2071-06-30,2071/72,58,64,False,53.23,54.38,55.28,69.14,63.68,83.12,83.94,88.68,88.15,61.22,29.82,36.23,28.77,37.24,28.73
age13-130363,2072-06-30,2072/73,59,62,False,50.05,51.08,51.98,66.53,61.22,80.68,81.43,87.63,88.38,60.91,27.26,33.67,26.25,34.53,26.28
age13-130363,2073-06-30,2073/74,60,59,False,46.79,47.68,48.54,63.57,58.56,78.02,78.71,86.44,88.61,60.49,24.78,31.1,23.81,31.83,23.9
age13-130363,2074-06-30,2074/75,61,57,False,43.44,44.18,44.99,60.28,55.67,74.99,75.67,85.02,88.8,59.92,22.42,28.54,21.48,29.14,21.62
age13-130363,2075-06-30,2075/76,62,54,False,40.16,40.79,41.51,56.92,52.67,71.8,72.44,83.47,89.01,59.28,20.17,26.05,19.29,26.56,19.46
age13-130363,2076-06-30,2076/77,63,51,False,36.9,37.45,38.17,53.59,49.58,68.48,69.05,81.78,89.24,58.54,18.11,23.68,17.28,24.1,17.47
age13-130363,2077-06-30,2077/78,64,49,False,33.76,34.21,34.88,50.05,46.42,64.93,65.47,79.9,89.44,57.65,16.23,21.44,15.44,21.78,15.65
age13-130363,2078-06-30,2078/79,65,46,False,30.75,31.13,31.75,46.52,43.22,61.22,61.72,77.81,89.64,56.62,14.5,19.34,13.75,19.61,13.97
age14-104729,2026-05-11,2026/27,14,49,False,43,54,53,36,42,47,51,44,45,30,42,53,61,56,50
age14-104729,2027-06-30,2027/28,15,52,False,46.78,58.16,57.95,41.83,45.07,51.77,55.81,48.15,48.32,32.5,44.1,54.05,61.79,57.26,51.31
age14-104729,2028-06-30,2028/29,16,56,False,49.95,61.42,62.23,46.47,47.85,55.66,60.01,51.55,51.08,34.52,46.38,55.19,62.64,58.35,52.74
age14-104729,2029-06-30,2029/30,17,58,False,53.67,65.14,66.6,50.94,50.78,59.45,64.1,54.89,53.65,36.58,48.54,56.27,63.45,59.6,54.09
age14-104729,2030-06-30,2030/31,18,62,False,57.39,69.15,71.74,56.86,53.95,64.01,68.79,58.8,56.67,39.02,51.01,57.5,64.38,60.89,55.63
age14-104729,2031-06-30,2031/32,19,66,False,61.01,72.93,76.47,62.32,56.95,68.57,73.45,62.76,59.76,41.42,53.38,58.69,65.27,62.12,57.12
age14-104729,2032-06-30,2032/33,20,70,False,65.33,77.37,81.7,67.96,60.43,73.33,78.49,66.95,63.14,43.93,56.27,60.14,66.35,63.57,58.92
age14-104729,2033-06-30,2033/34,21,73,False,69.26,81.75,86.04,73.79,63.83,78.42,83.58,71.43,66.81,46.57,58.66,61.33,67.25,64.9,60.41
age14-104729,2034-06-30,2034/35,22,78,False,74.34,86.02,90.12,81.74,68.2,84.38,88.24,77.11,71.35,50.01,61.98,62.99,68.49,66.65,62.49
age14-104729,2035-06-30,2035/36,23,80,False,78.18,88.54,92.17,85.59,71.35,87.55,90.79,81.12,74.46,52.41,64.29,64.14,69.36,67.96,63.93
age14-104729,2036-06-30,2036/37,24,82,False,80.5,89.82,93.18,87.44,73.19,88.86,91.85,82.86,76.01,53.6,65.9,64.95,69.96,68.73,64.94
age14-104729,2037-06-30,2037/38,25,83,True,82.69,91.09,94.12,89.24,75.1,90.27,92.94,84.8,77.89,55.06,67.23,65.62,70.46,69.53,65.77
age14-104729,2038-06-30,2038/39,26,85,True,84.44,92.04,94.88,90.8,76.9,91.5,93.88,86.51,79.75,56.5,68.53,66.26,70.95,70.26,66.58
age14-104729,2039-06-30,2039/40,27,86,False,85.62,92.64,95.39,91.79,78.27,92.35,94.52,87.71,81.21,57.56,69.66,66.83,71.37,70.8,67.29
age14-104729,2040-06-30,2040/41,28,87,False,86.86,93.27,95.87,92.68,79.77,93.05,95.07,88.7,82.45,58.57,70.86,67.43,71.82,71.41,68.04
age14-104729,2041-06-30,2041/42,29,87,False,87.93,93.84,96.31,93.55,81.16,93.74,95.58,89.7,83.7,59.68,71.89,67.95,72.21,71.98,68.68
age14-104729,2042-06-30,2042/43,30,88,False,88.88,94.35,96.69,94.34,82.43,94.37,96.03,90.61,84.86,60.8,72.98,68.49,72.62,72.54,69.36
age14-104729,2043-06-30,2043/44,31,89,False,89.7,94.77,97.02,94.96,83.55,94.9,96.42,91.38,85.88,61.8,74.16,69.08,73.06,73.07,70.1
age14-104729,2044-06-30,2044/45,32,90,False,90.6,95.26,97.36,95.52,84.72,95.35,96.76,92.05,86.77,62.81,75.31,69.66,73.49,73.68,70.82
age14-104729,2045-06-30,2045/46,33,90,True,91.22,95.59,97.63,95.97,85.57,95.73,97.03,92.61,87.5,63.73,76.16,70.08,73.81,74.14,71.35
age14-104729,2046-06-30,2046/47,34,91,True,91.69,95.83,97.85,96.29,86.24,96.05,97.28,93.12,88.17,64.54,76.87,70.43,74.08,74.52,71.79
age14-104729,2047-06-30,2047/48,35,91,True,92.17,96.07,98.08,96.59,86.92,96.32,97.5,93.53,88.75,65.28,77.76,70.88,74.41,74.93,72.35
age14-104729,2048-06-30,2048/49,36,91,True,92.17,96.07,98.08,96.59,86.92,96.32,97.5,93.53,88.75,65.28,77.76,70.88,74.41,74.93,72.35
age14-104729,2049-06-30,2049/50,37,91,True,92.17,96.07,98.08,96.59,86.92,96.32,97.5,93.53,88.75,65.28,77.76,70.88,74.41,74.93,72.35
age14-104729,2050-06-30,2050/51,38,91,True,92.17,96.07,98.08,96.59,86.92,96.32,97.5,93.53,88.75,65.28,77.76,70.88,74.41,74.93,72.35
age14-104729,2051-06-30,2051/52,39,91,True,92.17,96.07,98.08,96.59,86.92,96.32,97.5,93.53,88.75,65.28,77.76,70.88,74.41,74.93,72.35
age14-104729,2052-06-30,2052/53,40,91,True,92.17,96.07,98.08,96.59,86.92,96.32,97.5,93.53,88.75,65.28,77.76,70.88,74.41,74.93,72.35
age14-104729,2053-06-30,2053/54,41,90,True,91.45,95.29,97.27,96.15,86.57,96.32,97.5,93.53,88.75,65.28,76.49,70.19,73.25,74.16,71.25
age14-104729,2054-06-30,2054/55,42,90,True,90.58,94.34,96.27,95.62,86.14,96.32,97.5,93.53,88.75,65.28,74.96,69.36,71.84,73.22,69.92
age14-104729,2055-06-30,2055/56,43,89,True,89.54,93.21,95.1,94.99,85.63,96.32,97.5,93.53,88.75,65.28,73.18,68.37,70.21,72.12,68.37
age14-104729,2056-06-30,2056/57,44,88,True,88.33,91.91,93.74,94.24,85.02,96.32,97.5,93.53,88.75,65.28,71.17,67.23,68.36,70.85,66.62
age14-104729,2057-06-30,2057/58,45,87,True,86.96,90.42,92.2,93.38,84.32,96.32,97.5,93.53,88.75,65.28,68.94,65.94,66.3,69.42,64.67
age14-104729,2058-06-30,2058/59,46,86,False,85.42,88.75,90.46,92.4,83.52,96.32,97.5,93.53,88.75,65.28,66.52,64.49,64.06,67.82,62.54
age14-104729,2059-06-30,2059/60,47,85,True,83.72,86.92,88.56,91.31,82.63,96.25,97.43,93.5,88.75,65.27,63.95,62.92,61.67,66.08,60.26
age14-104729,2060-06-30,2060/61,48,84,True,81.87,84.92,86.49,90.1,81.64,96.09,97.26,93.44,88.75,65.24,61.24,61.22,59.16,64.21,57.86
age14-104729,2061-06-30,2061/62,49,82,False,79.87,82.77,84.25,88.77,80.54,95.81,96.98,93.34,88.75,65.19,58.45,59.4,56.55,62.21,55.36
age14-104729,2062-06-30,2062/63,50,81,False,77.72,80.46,81.86,87.31,79.34,95.4,96.56,93.18,88.75,65.11,55.57,57.47,53.86,60.09,52.78
age14-104729,2063-06-30,2063/64,51,80,False,75.43,78.01,79.33,85.72,78.03,94.82,95.97,92.96,88.75,65.0,52.65,55.44,51.11,57.87,50.15
age14-104729,2064-06-30,2064/65,52,78,False,73.01,75.42,76.65,84.0,76.61,94.06,95.19,92.67,88.75,64.86,49.7,53.31,48.33,55.55,47.47
age14-104729,2065-06-30,2065/66,53,76,False,70.47,72.7,73.84,82.15,75.06,93.07,94.18,92.28,88.75,64.67,46.75,51.11,45.54,53.16,44.78
age14-104729,2066-06-30,2066/67,54,74,False,67.8,69.87,70.92,80.15,73.4,91.83,92.91,91.8,88.75,64.43,43.82,48.83,42.76,50.69,42.09
age14-104729,2067-06-30,2067/68,55,72,False,65.03,66.93,67.89,78.03,71.62,90.31,91.35,91.19,88.75,64.13,40.93,46.5,40.01,48.18,39.42
age14-104729,2068-06-30,2068/69,56,70,False,62.17,63.89,64.77,75.76,69.71,88.47,89.46,90.44,88.75,63.76,38.09,44.12,37.3,45.62,36.79
age14-104729,2069-06-30,2069/70,57,68,False,59.17,60.73,61.51,73.31,67.64,86.45,87.4,89.59,88.75,63.34,35.28,41.67,34.6,43.0,34.17
age14-104729,2070-06-30,2070/71,58,66,False,56.52,57.92,58.72,71.29,65.79,84.6,85.5,88.89,88.95,63.15,32.83,39.33,32.08,40.5,31.78
age14-104729,2071-06-30,2071/72,59,64,False,53.81,55.06,55.82,69.06,63.8,82.61,83.48,88.1,89.16,62.92,30.39,36.95,29.6,37.99,29.42
age14-104729,2072-06-30,2072/73,60,62,False,50.91,52.04,52.83,66.78,61.61,80.5,81.29,87.21,89.37,62.63,28.01,34.55,27.2,35.45,27.11
age14-104729,2073-06-30,2073/74,61,60,False,47.93,48.93,49.72,64.21,59.24,78.22,78.96,86.22,89.58,62.27,25.69,32.14,24.87,32.92,24.86
age14-104729,2074-06-30,2074/75,62,58,False,44.96,45.81,46.59,61.44,56.75,75.69,76.4,85.05,89.76,61.78,23.54,29.81,22.69,30.46,22.75
age14-104729,2075-06-30,2075/76,63,55,False,42.06,42.8,43.53,58.62,54.19,73.05,73.73,83.81,89.95,61.23,21.49,27.55,20.66,28.11,20.77
age14-104729,2076-06-30,2076/77,64,53,False,39.18,39.84,40.56,55.76,51.56,70.29,70.93,82.47,90.14,60.61,19.6,25.4,18.78,25.87,18.93
age14-104729,2077-06-30,2077/78,65,51,False,36.4,36.94,37.63,52.75,48.87,67.37,67.99,80.99,90.33,59.88,17.85,23.35,17.04,23.75,17.23
age14-130363,2026-05-11,2026/27,14,49,False,43,54,53,36,42,47,51,44,45,30,42,53,61,56,50
age14-130363,2027-06-30,2027/28,15,52,False,46.72,58.07,57.77,41.5,45.0,51.63,55.73,48.07,48.28,32.42,44.07,54.04,61.78,57.24,51.29
age14-130363,2028-06-30,2028/29,16,55,False,49.9,61.3,62.01,46.14,47.76,55.5,59.87,51.45,50.96,34.46,46.35,55.17,62.63,58.33,52.72
age14-130363,2029-06-30,2029/30,17,58,False,53.58,64.98,66.36,50.64,50.68,59.36,64.02,54.84,53.58,36.55,48.45,56.22,63.42,59.57,54.03
age14-130363,2030-06-30,2030/31,18,63,False,57.58,69.33,71.97,57.3,54.08,64.41,69.14,59.17,56.92,39.26,51.07,57.53,64.4,60.95,55.67
age14-130363,2031-06-30,2031/32,19,66,False,61.45,73.34,76.88,62.95,57.26,69.42,74.29,63.59,60.31,41.91,53.46,58.73,65.3,62.26,57.16
age14-130363,2032-06-30,2032/33,20,70,False,65.52,77.48,81.83,68.32,60.57,73.94,79.08,67.55,63.49,44.29,56.28,60.14,66.36,63.62,58.93
age14-130363,2033-06-30,2033/34,21,74,False,69.45,81.83,86.13,74.19,63.98,79.08,84.11,72.09,67.2,46.96,58.67,61.34,67.25,64.95,60.42
age14-130363,2034-06-30,2034/35,22,78,False,74.53,86.14,90.27,82.39,68.39,85.01,88.67,77.87,71.83,50.48,62.0,63.0,68.5,66.72,62.5
age14-130363,2035-06-30,2035/36,23,80,False,77.75,88.14,92.05,85.75,71.16,87.79,90.92,81.49,74.61,52.64,64.27,64.14,69.35,67.84,63.92
age14-130363,2036-06-30,2036/37,24,82,True,79.93,89.44,93.14,87.95,73.0,89.3,92.08,83.49,76.4,54.04,65.85,64.92,69.94,68.59,64.9
age14-130363,2037-06-30,2037/38,25,83,True,82.34,90.81,94.14,89.81,75.03,90.67,93.15,85.35,78.27,55.52,67.32,65.66,70.49,69.45,65.82
age14-130363,2038-06-30,2038/39,26,85,False,84.1,91.8,94.94,91.44,76.8,91.86,94.04,86.98,80.11,56.96,68.68,66.34,71.01,70.16,66.68
age14-130363,2039-06-30,2039/40,27,86,False,85.41,92.48,95.45,92.35,78.24,92.68,94.68,88.16,81.55,58.08,69.73,66.86,71.4,70.74,67.33
age14-130363,2040-06-30,2040/41,28,87,False,86.62,93.1,95.93,93.24,79.73,93.39,95.23,89.17,82.82,59.14,70.92,67.46,71.85,71.34,68.08
age14-130363,2041-06-30,2041/42,29,88,False,87.63,93.64,96.35,94.07,81.07,94.04,95.71,90.1,84.03,60.23,71.95,67.97,72.23,71.88,68.72
age14-130363,2042-06-30,2042/43,30,88,False,88.59,94.15,96.71,94.71,82.3,94.62,96.14,90.95,85.12,61.3,73.0,68.5,72.62,72.43,69.37
age14-130363,2043-06-30,2043/44,31,89,True,89.51,94.62,97.04,95.25,83.5,95.13,96.54,91.72,86.12,62.32,74.2,69.1,73.07,73.0,70.12
age14-130363,2044-06-30,2044/45,32,90,True,90.42,95.11,97.36,95.76,84.65,95.61,96.9,92.45,87.08,63.43,75.29,69.65,73.48,73.6,70.81
age14-130363,2045-06-30,2045/46,33,90,True,90.99,95.43,97.62,96.16,85.43,95.92,97.13,92.92,87.75,64.21,76.11,70.06,73.79,74.02,71.32
age14-130363,2046-06-30,2046/47,34,90,True,91.49,95.69,97.84,96.47,86.14,96.23,97.38,93.4,88.41,65.03,76.82,70.41,74.06,74.42,71.77
age14-130363,2047-06-30,2047/48,35,91,False,92.02,95.95,98.08,96.75,86.87,96.5,97.62,93.82,89.0,65.83,77.74,70.87,74.4,74.85,72.34
age14-130363,2048-06-30,2048/49,36,91,False,92.02,95.95,98.08,96.75,86.87,96.5,97.62,93.82,89.0,65.83,77.74,70.87,74.4,74.85,72.34
age14-130363,2049-06-30,2049/50,37,91,True,92.02,95.95,98.08,96.75,86.87,96.5,97.62,93.82,89.0,65.83,77.74,70.87,74.4,74.85,72.34
age14-130363,2050-06-30,2050/51,38,91,True,92.02,95.95,98.08,96.75,86.87,96.5,97.62,93.82,89.0,65.83,77.74,70.87,74.4,74.85,72.34
age14-130363,2051-06-30,2051/52,39,91,False,92.02,95.95,98.08,96.75,86.87,96.5,97.62,93.82,89.0,65.83,77.74,70.87,74.4,74.85,72.34
age14-130363,2052-06-30,2052/53,40,91,True,92.02,95.95,98.08,96.75,86.87,96.5,97.62,93.82,89.0,65.83,77.74,70.87,74.4,74.85,72.34
age14-130363,2053-06-30,2053/54,41,90,True,91.21,95.07,97.16,96.26,86.48,96.5,97.62,93.82,89.0,65.83,76.29,70.09,73.07,73.98,71.08
age14-130363,2054-06-30,2054/55,42,90,False,90.21,93.99,96.03,95.65,85.98,96.5,97.62,93.82,89.0,65.83,74.55,69.13,71.48,72.92,69.57
age14-130363,2055-06-30,2055/56,43,89,False,89.03,92.71,94.7,94.92,85.39,96.5,97.62,93.82,89.0,65.83,72.54,68.01,69.63,71.66,67.82
age14-130363,2056-06-30,2056/57,44,88,False,87.67,91.22,93.15,94.07,84.7,96.5,97.62,93.82,89.0,65.83,70.27,66.71,67.54,70.22,65.84
age14-130363,2057-06-30,2057/58,45,87,False,86.11,89.54,91.39,93.08,83.9,96.5,97.62,93.82,89.0,65.83,67.76,65.24,65.22,68.6,63.64
age14-130363,2058-06-30,2058/59,46,86,False,84.35,87.64,89.41,91.95,82.98,96.5,97.62,93.82,89.0,65.83,65.04,63.6,62.71,66.79,61.24
age14-130363,2059-06-30,2059/60,47,85,False,82.42,85.55,87.24,90.69,81.96,96.42,97.54,93.79,89.0,65.81,62.17,61.82,60.03,64.82,58.69
age14-130363,2060-06-30,2060/61,48,83,False,80.31,83.28,84.87,89.28,80.81,96.23,97.34,93.72,89.0,65.78,59.17,59.89,57.24,62.7,56.02
age14-130363,2061-06-30,2061/62,49,82,False,78.03,80.82,82.33,87.73,79.54,95.9,97.01,93.6,89.0,65.72,56.07,57.83,54.34,60.44,53.24
age14-130363,2062-06-30,2062/63,50,80,False,75.58,78.2,79.6,86.03,78.14,95.41,96.5,93.41,89.0,65.62,52.92,55.65,51.37,58.05,50.4
age14-130363,2063-06-30,2063/64,51,78,False,72.98,75.41,76.72,84.18,76.61,94.72,95.79,93.14,89.0,65.49,49.73,53.35,48.37,55.56,47.5
age14-130363,2064-06-30,2064/65,52,76,False,70.23,72.48,73.68,82.16,74.94,93.79,94.85,92.78,89.0,65.31,46.53,50.96,45.35,52.97,44.59
age14-130363,2065-06-30,2065/66,53,74,False,67.34,69.4,70.5,79.99,73.13,92.59,93.62,92.31,89.0,65.08,43.36,48.49,42.34,50.3,41.68
age14-130363,2066-06-30,2066/67,54,72,False,64.33,66.2,67.2,77.65,71.18,91.07,92.07,91.71,89.0,64.78,40.24,45.95,39.36,47.57,38.79
age14-130363,2067-06-30,2067/68,55,70,False,61.36,63.08,64.0,75.41,69.2,89.28,90.22,91.01,89.07,64.5,37.26,43.41,36.47,44.85,36.0
age14-130363,2068-06-30,2068/69,56,68,False,58.15,59.69,60.5,72.74,66.95,87.01,87.91,90.07,89.07,64.03,34.29,40.79,33.63,42.06,33.24
age14-130363,2069-06-30,2069/70,57,66,False,55.25,56.64,57.46,70.53,64.9,84.89,85.73,89.26,89.28,63.81,31.67,38.28,30.96,39.39,30.69
age14-130363,2070-06-30,2070/71,58,63,False,52.24,53.45,54.25,68.0,62.65,82.56,83.35,88.3,89.46,63.47,29.12,35.74,28.37,36.69,28.21
age14-130363,2071-06-30,2071/72,59,61,False,49.16,50.23,50.99,65.3,60.24,80.04,80.79,87.22,89.66,63.06,26.62,33.18,25.85,34.0,25.79
age14-130363,2072-06-30,2072/73,60,59,False,45.9,46.85,47.61,62.44,57.58,77.36,78.04,86.0,89.86,62.57,24.19,30.61,23.42,31.3,23.43
age14-130363,2073-06-30,2073/74,61,56,False,42.58,43.39,44.12,59.27,54.71,74.38,75.02,84.61,90.06,61.96,21.84,28.04,21.09,28.62,21.16
age14-130363,2074-06-30,2074/75,62,53,False,39.29,39.95,40.64,55.87,51.7,71.08,71.69,82.99,90.23,61.19,19.68,25.57,18.92,26.04,19.04
age14-130363,2075-06-30,2075/76,63,51,False,36.13,36.69,37.31,52.44,48.64,67.66,68.23,81.24,90.41,60.32,17.65,23.22,16.92,23.61,17.08
age14-130363,2076-06-30,2076/77,64,49,False,33.01,33.49,34.1,49.05,45.49,64.11,64.62,79.34,90.61,59.34,15.8,20.99,15.09,21.31,15.27
age14-130363,2077-06-30,2077/78,65,46,False,30.01,30.4,30.98,45.51,42.3,60.36,60.84,77.22,90.79,58.18,14.1,18.89,13.41,19.15,13.61
age16-104729,2026-05-11,2026/27,16,63,False,56,67,66,49,55,61,65,58,63,50,56,64,72,67,61
age16-104729,2027-06-30,2027/28,17,66,False,59.69,71.1,70.84,54.65,58.0,65.6,69.65,62.01,66.16,52.46,58.04,65.02,72.77,68.24,62.28
age16-104729,2028-06-30,2028/29,18,70,False,63.61,75.11,76.11,60.31,61.46,70.4,74.85,66.21,69.62,54.94,60.79,66.4,73.8,69.59,63.99
age16-104729,2029-06-30,2029/30,19,73,False,67.35,78.97,80.92,65.45,64.61,74.86,79.58,70.13,72.66,57.31,63.03,67.52,74.64,70.88,65.4
age16-104729,2030-06-30,2030/31,20,77,False,70.89,82.65,85.16,71.3,67.64,79.18,83.59,73.78,75.59,59.59,65.42,68.71,75.53,72.11,66.89
age16-104729,2031-06-30,2031/32,21,80,False,74.69,85.68,88.21,76.25,70.72,83.45,87.15,77.88,78.73,62.04,67.76,69.88,76.41,73.38,68.35
age16-104729,2032-06-30,2032/33,22,82,False,76.97,87.22,89.76,79.22,72.58,85.34,88.71,80.0,80.5,63.3,69.38,70.69,77.02,74.15,69.37
age16-104729,2033-06-30,2033/34,23,83,True,79.16,88.63,91.09,82.02,74.42,87.18,90.23,82.25,82.32,64.67,70.61,71.31,77.48,74.88,70.13
age16-104729,2034-06-30,2034/35,24,85,True,81.24,89.84,92.33,85.01,76.25,88.88,91.53,84.29,83.92,66.17,72.03,72.01,78.01,75.62,71.02
age16-104729,2035-06-30,2035/36,25,86,False,82.76,90.68,93.12,86.69,77.68,89.98,92.42,85.68,85.05,67.27,73.13,72.57,78.42,76.19,71.71
age16-104729,2036-06-30,2036/37,26,87,True,84.21,91.47,93.84,88.17,79.13,90.88,93.15,86.81,85.99,68.28,74.42,73.21,78.91,76.79,72.51
age16-104729,2037-06-30,2037/38,27,88,True,85.66,92.28,94.49,89.41,80.61,91.69,93.81,87.84,86.89,69.28,75.53,73.76,79.32,77.42,73.2
age16-104729,2038-06-30,2038/39,28,88,False,86.76,92.91,95.03,90.58,81.88,92.48,94.42,88.86,87.78,70.34,76.49,74.24,79.68,77.97,73.81
age16-104729,2039-06-30,2039/40,29,89,True,87.85,93.48,95.52,91.51,83.12,93.16,94.97,89.76,88.58,71.32,77.57,74.79,80.09,78.54,74.48
age16-104729,2040-06-30,2040/41,30,90,True,88.71,93.91,95.88,92.15,84.09,93.66,95.38,90.43,89.22,72.11,78.5,75.25,80.43,79.03,75.06
