case,category,detail
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":225,""qTourRank"":194,""qSchoolRank"":13,""seniorRank"":null,""youthRank"":null,""matches"":3,""wins"":9,""losses"":2,""prizeMoney"":0,""rankingPoints"":91,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Q School Campaigner""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 62 matches, 66 wins, 63 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":111,""oneYearRank"":96,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":13,""losses"":9,""prizeMoney"":27400,""rankingPoints"":27400,""titles"":0,""proWins"":13,""proLosses"":9,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 73 matches, 81 wins, 74 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":82,""oneYearRank"":70,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":15,""losses"":11,""prizeMoney"":42850,""rankingPoints"":42850,""titles"":0,""proWins"":15,""proLosses"":11,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""At Risk"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-career-match-count,"Elliot Vance: 77 matches, 96 wins, 78 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2034-35.json,extended-season-match-count,"Elliot Vance: {""season"":""2034/35"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":40,""qTourRank"":409,""qSchoolRank"":10,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":15,""losses"":4,""prizeMoney"":0,""rankingPoints"":101,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-career-match-count,"Elliot Vance: 81 matches, 107 wins, 81 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2035-36.json,extended-season-match-count,"Elliot Vance: {""season"":""2035/36"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":208,""qTourRank"":177,""qSchoolRank"":189,""seniorRank"":57,""youthRank"":null,""matches"":4,""wins"":11,""losses"":3,""prizeMoney"":0,""rankingPoints"":1207,""titles"":1,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-career-match-count,"Elliot Vance: 85 matches, 123 wins, 86 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2036-37.json,extended-season-match-count,"Elliot Vance: {""season"":""2036/37"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":23,""qTourRank"":177,""qSchoolRank"":null,""seniorRank"":59,""youthRank"":null,""matches"":4,""wins"":16,""losses"":5,""prizeMoney"":0,""rankingPoints"":1283,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-career-match-count,"Elliot Vance: 89 matches, 129 wins, 91 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2037-38.json,extended-season-match-count,"Elliot Vance: {""season"":""2037/38"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":193,""qTourRank"":183,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":6,""losses"":5,""prizeMoney"":0,""rankingPoints"":1193,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-career-match-count,"Elliot Vance: 93 matches, 137 wins, 96 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2038-39.json,extended-season-match-count,"Elliot Vance: {""season"":""2038/39"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":99,""qTourRank"":156,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":8,""losses"":5,""prizeMoney"":0,""rankingPoints"":2418,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-career-match-count,"Elliot Vance: 97 matches, 149 wins, 99 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2039-40.json,extended-season-match-count,"Elliot Vance: {""season"":""2039/40"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":208,""qTourRank"":421,""qSchoolRank"":32,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":12,""losses"":3,""prizeMoney"":0,""rankingPoints"":39,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-career-match-count,"Elliot Vance: 107 matches, 155 wins, 109 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2040-41.json,extended-season-match-count,"Elliot Vance: {""season"":""2040/41"",""worldRank"":125,""oneYearRank"":123,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":64,""youthRank"":null,""matches"":10,""wins"":6,""losses"":10,""prizeMoney"":10600,""rankingPoints"":10611,""titles"":0,""proWins"":4,""proLosses"":9,""mainTourEvents"":9,""hasTourCard"":true,""yearsRemaining"":2,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Professional""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-career-match-count,"Elliot Vance: 118 matches, 160 wins, 122 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2041-42.json,extended-season-match-count,"Elliot Vance: {""season"":""2041/42"",""worldRank"":113,""oneYearRank"":120,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":5,""losses"":13,""prizeMoney"":13350,""rankingPoints"":11100,""titles"":0,""proWins"":5,""proLosses"":13,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":1,""retainedViaRanking"":false,""cardSource"":""Q School"",""tourSurvivalStatus"":""At Risk"",""status"":""Veteran Professional""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-career-match-count,"Elliot Vance: 122 matches, 163 wins, 128 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2042-43.json,extended-season-match-count,"Elliot Vance: {""season"":""2042/43"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":206,""qTourRank"":177,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":6,""prizeMoney"":0,""rankingPoints"":1186,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Lost Card"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-career-match-count,"Elliot Vance: 126 matches, 166 wins, 132 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2043-44.json,extended-season-match-count,"Elliot Vance: {""season"":""2043/44"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":200,""qTourRank"":430,""qSchoolRank"":null,""seniorRank"":68,""youthRank"":null,""matches"":4,""wins"":3,""losses"":4,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-career-match-count,"Elliot Vance: 130 matches, 169 wins, 137 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2044-45.json,extended-season-match-count,"Elliot Vance: {""season"":""2044/45"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":199,""qTourRank"":175,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":3,""losses"":5,""prizeMoney"":0,""rankingPoints"":1182,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2045-46.json,extended-career-match-count,"Elliot Vance: 134 matches, 173 wins, 142 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2045-46.json,extended-season-match-count,"Elliot Vance: {""season"":""2045/46"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":248,""qTourRank"":171,""qSchoolRank"":158,""seniorRank"":null,""youthRank"":null,""matches"":4,""wins"":4,""losses"":5,""prizeMoney"":0,""rankingPoints"":1185,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2046-47.json,extended-career-match-count,"Elliot Vance: 140 matches, 175 wins, 149 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2046-47.json,extended-season-match-count,"Elliot Vance: {""season"":""2046/47"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":105,""qTourRank"":186,""qSchoolRank"":218,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":2,""losses"":7,""prizeMoney"":0,""rankingPoints"":842,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2047-48.json,extended-career-match-count,"Elliot Vance: 144 matches, 176 wins, 155 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2047-48.json,extended-season-match-count,"Elliot Vance: {""season"":""2047/48"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":199,""qTourRank"":431,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":7,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2048-49.json,extended-career-match-count,"Elliot Vance: 148 matches, 177 wins, 161 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2048-49.json,extended-season-match-count,"Elliot Vance: {""season"":""2048/49"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":192,""qTourRank"":436,""qSchoolRank"":null,""seniorRank"":69,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2049-50.json,extended-career-match-count,"Elliot Vance: 152 matches, 178 wins, 167 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2049-50.json,extended-season-match-count,"Elliot Vance: {""season"":""2049/50"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":200,""qTourRank"":188,""qSchoolRank"":null,""seniorRank"":69,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":831,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2050-51.json,extended-career-match-count,"Elliot Vance: 156 matches, 178 wins, 173 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2050-51.json,extended-season-match-count,"Elliot Vance: {""season"":""2050/51"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":193,""qTourRank"":432,""qSchoolRank"":null,""seniorRank"":68,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2051-52.json,extended-career-match-count,"Elliot Vance: 162 matches, 179 wins, 181 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2051-52.json,extended-season-match-count,"Elliot Vance: {""season"":""2051/52"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":112,""qTourRank"":181,""qSchoolRank"":216,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":1,""losses"":8,""prizeMoney"":0,""rankingPoints"":843,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2052-53.json,extended-career-match-count,"Elliot Vance: 166 matches, 179 wins, 187 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2052-53.json,extended-season-match-count,"Elliot Vance: {""season"":""2052/53"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":190,""qTourRank"":432,""qSchoolRank"":null,""seniorRank"":69,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2053-54.json,extended-career-match-count,"Elliot Vance: 170 matches, 179 wins, 193 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2053-54.json,extended-season-match-count,"Elliot Vance: {""season"":""2053/54"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":192,""qTourRank"":436,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":8,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2054-55.json,extended-career-match-count,"Elliot Vance: 174 matches, 179 wins, 199 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2054-55.json,extended-season-match-count,"Elliot Vance: {""season"":""2054/55"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":205,""qTourRank"":440,""qSchoolRank"":null,""seniorRank"":70,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2055-56.json,extended-career-match-count,"Elliot Vance: 178 matches, 179 wins, 205 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2055-56.json,extended-season-match-count,"Elliot Vance: {""season"":""2055/56"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":199,""qTourRank"":440,""qSchoolRank"":null,""seniorRank"":71,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2056-57.json,extended-career-match-count,"Elliot Vance: 184 matches, 179 wins, 213 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2056-57.json,extended-season-match-count,"Elliot Vance: {""season"":""2056/57"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":115,""qTourRank"":440,""qSchoolRank"":237,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2057-58.json,extended-career-match-count,"Elliot Vance: 190 matches, 179 wins, 221 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2057-58.json,extended-season-match-count,"Elliot Vance: {""season"":""2057/58"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":100,""qTourRank"":436,""qSchoolRank"":228,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":0,""losses"":8,""prizeMoney"":0,""rankingPoints"":16,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2058-59.json,extended-career-match-count,"Elliot Vance: 194 matches, 179 wins, 227 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2058-59.json,extended-season-match-count,"Elliot Vance: {""season"":""2058/59"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":201,""qTourRank"":433,""qSchoolRank"":null,""seniorRank"":72,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":6,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-career-match-count,"Elliot Vance: 11 matches, 6 wins, 13 losses"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-season-match-count,"Elliot Vance: {""season"":""2026/27"",""worldRank"":97,""oneYearRank"":119,""amateurRank"":null,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":null,""youthRank"":null,""matches"":11,""wins"":6,""losses"":13,""prizeMoney"":11250,""rankingPoints"":11000,""titles"":0,""proWins"":6,""proLosses"":13,""mainTourEvents"":11,""hasTourCard"":true,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":""Seeded Main Tour"",""tourSurvivalStatus"":""At Risk"",""status"":""Rookie Professional — Two-Year Tour Card""}"
artifacts\simulations\33-season-start-age-32-start-rookie-pro-middle-support-simulation-seed-130363-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-career-match-count,"Elliot Vance: 22 matches, 13 wins, 24 losses"
